element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
V,2,"=""460.5335""","=""0.0006""","=""320""","=""""",,"=""18293.8723""","=""40001.7556""","=""3d4""","=""a 3D""","=""2""","=""3d3.(4F).4p""","=""z 3F*""","=""2""",,"=""""","=""L18516""",
Mn,1,"=""460.536""","=""""","=""80""","=""3.6e+07""",D,"=""38120.18""","=""59827.88""","=""3d6.(3H).4s""","=""a 2H""","=""9/2""","=""3d6.(3H).4p""","=""z 2I*""","=""11/2""",,"=""T1117""","=""L3475""",
Lu,1,"=""460.539""","=""""","=""85c""","=""""",,"=""18851.31""","=""40558.92""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""5d2.(3F).6p""","=""4G*""","=""5/2""",,"=""""","=""L3475""",
Pb,4,"=""460.540""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1202""",
Th,1,"=""460.54283""","=""0.00019""","=""17""","=""""",,"=""19273.28060""","=""40980.7020""","=""6d3.(2P).7s""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L12239""",
Ac,2,"=""460.5451""","=""0.0009""","=""17000c""","=""2.77e+07""",C+,"=""4739.631""","=""26446.928""","=""6d.7s""","=""3D""","=""1""","=""6d.7p""","=""3F*""","=""2""",,"=""T10463""","=""L7344""",
Fe,1,"=""460.55875""","=""0.00017""","=""204""","=""""",,"=""34843.957""","=""56550.634""","=""3d7.(4F).4p""","=""z 5G*""","=""6""","=""3d6.4s.(6D).5d""","=""5G""","=""5""",,"=""""","=""L11631""",
Pm,1,"=""460.566""","=""""","=""600r""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
Re,1,"=""460.573""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
La,2,"=""460.578""","=""""","=""160""","=""6.9e+06""",B,"=""5718.12""","=""27423.91""","=""5d2""","=""a 3P""","=""1""","=""5d.6p""","=""*""","=""1""",,"=""T7455""","=""L3475""",
Th,1,"=""460.58237""","=""0.00005""","=""47""","=""""",,"=""18549.40528""","=""40254.9660""","=""6d3.(4P).7s""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Cr,1,"=""460.58359""","=""0.00017""","=""5""","=""""",,"=""26801.9009""","=""48507.408""","=""3d5.(6S).4p""","=""z 5P*""","=""1""","=""3d4.4s.5s""","=""f 5D""","=""1""",,"=""""","=""L14866""",
Hf,1,"=""460.6070""","=""0.0019""","=""170hl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
