element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,1,"=""398.54430""","=""0.00019""","=""398.54433""","=""0.00005""","=""30""","=""""",,"=""16817.160""","=""41901.3771""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d2.4s.(4F).4d""","=""e 5D""","=""1""",,"=""""","=""L10989""",
Th,2,"=""398.54640""","=""0.00022""","=""398.546208""","=""0.000014""","=""190""","=""""",,"=""20310.94225""","=""45395.0414""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",,"=""""","=""L2372""",
Li,1,"=""398.548""","=""""","=""398.5481""","=""0.0022""","=""10""","=""8.62e+05""",A,"=""14903.66""","=""39987.64""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
Li,1,"=""398.554""","=""""","=""398.5535""","=""0.0022""","=""10""","=""1.73e+06""",A,"=""14904.00""","=""39987.64""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
Yb,3,"=""398.556""","=""""","=""""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4835""",
Hf,1,"=""398.5570""","=""0.0010""","=""""","=""""","=""74""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Ti,1,"=""398.55795""","=""0.00019""","=""398.55796""","=""0.00005""","=""44""","=""""",,"=""16875.124""","=""41958.4833""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d2.4s.(4F).4d""","=""e 5D""","=""2""",,"=""""","=""L10989""",
W,1,"=""398.5668""","=""""","=""398.5661""","=""0.0011""","=""5""","=""1.74e+04""",D,"=""4830.00""","=""29912.85""","=""5d4.6s2""","=""5D""","=""3""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""T4976""","=""L153""",
Hf,1,"=""398.5670""","=""0.0010""","=""398.5666""","=""0.0003""","=""150*""","=""""",,"=""25281.843""","=""50364.656""","=""5d3.(b 4F).6s""","=""b 3F""","=""3""","=""5d3.(b 4P).6p""","=""w 5D*""","=""2""",,"=""""","=""L16323""",
Hf,1,"=""398.5670""","=""0.0010""","=""398.56727""","=""0.00011""","=""150*""","=""""",,"=""19292.6984""","=""44375.472""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5G*""","=""3""","=""6p2.(3P).5d.(2P).6s""","=""d 3P""","=""2""",,"=""""","=""L16323""",
Ho,2,"=""398.571""","=""""","=""""","=""""","=""220c,w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ne,2,"=""398.5725""","=""0.0010""","=""398.57260""","=""0.00003""","=""160""","=""""",,"=""283894.3965""","=""308976.8347""","=""2s2.2p4.(3P).4s""","=""2P""","=""1/2""","=""2s2.2p4.(3P).5p""","=""2P*""","=""1/2""",,"=""""","=""L1406""",
Th,1,"=""398.57370""","=""0.00016""","=""398.573836""","=""0.000013""","=""9""","=""""",,"=""15618.98461""","=""40701.3450""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Nb,4,"=""398.5762""","=""0.0005""","=""398.5759""","=""0.0007""","=""5000""","=""7.4e+06""",D+,"=""174784.05""","=""199866.28""","=""4d.(2D<3/2>).6s""","=""2[3/2]""","=""2""","=""4d.6p""","=""1P*""","=""1""",,"=""T2192""","=""L12094""",
V,2,"=""398.5764""","=""0.0004""","=""398.57645""","=""0.00011""","=""790""","=""""",,"=""30267.511""","=""55349.707""","=""3d3.(2F).4s""","=""c 3F""","=""2""","=""3d3.(2H).4p""","=""x 3G*""","=""3""",,"=""""","=""L18516""",
W,1,"=""398.5788""","=""""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
U,2,"=""398.579""","=""""","=""""","=""""","=""1200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""398.58150""","=""0.00016""","=""398.581676""","=""0.000007""","=""18""","=""""",,"=""9804.806547""","=""34886.6736""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L3552""",
Na,2,"=""398.585""","=""0.010""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
