element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""371.429""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Th,2,"=""371.42910""","=""0.00019""","=""210""","=""""",,"=""17983.38416""","=""44898.7714""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",,"=""""","=""L2372""",
Br,2,"=""371.430""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7484""",
Th,2,"=""371.43382""","=""0.00006""","=""79""","=""""",,"=""24309.22275""","=""51224.2614""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",,"=""""","=""L5951""",
Cr,1,"=""371.439""","=""0.004""","=""7w""","=""""",,"=""31377.8624""","=""58292.54""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d4.4s.5p""","=""r 5D*""","=""4""",,"=""""","=""L808""",
Li,2,"=""371.440""","=""""","=""7bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.441""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
V,1,"=""371.44164""","=""0.00018""","=""1100000""","=""""",,"=""21032.503""","=""47946.974""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4D*""","=""7/2""","=""47946e""","=""4F""","=""9/2""",,"=""""","=""L15916""",
Th,2,"=""371.44551""","=""0.00019""","=""25""","=""""",,"=""14484.32431""","=""41398.5108""","=""5f.6d.(3H*).7s""","=""2H*""","=""11/2""","=""5f2.(1G).6d""","=""""","=""9/2""",,"=""""","=""L2372""",
Li,2,"=""371.451""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.458""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Zr,3,"=""371.4655""","=""""","=""40""","=""8.88e+07""",,"=""121280.57""","=""148193.27""","=""4d.4f""","=""3F*""","=""4""","=""4d.(2D<5/2>).5g""","=""2[7/2]""","=""4""",,"=""T6869""","=""L9267""",
Th,1,"=""371.46961""","=""0.00014""","=""280""","=""""",,"=""7795.275291""","=""34707.7231""","=""5f.6d.7s2""","=""3H*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Nd,2,"=""371.473""","=""""","=""640D*""","=""""",,"=""6005.270""","=""32918.176""","=""4f4.(5I).5d""","=""6K""","=""9/2""","=""""","=""*""","=""9/2""",,"=""""","=""L3475""",
Ar,2,"=""371.47332""","=""0.00004""","=""14""","=""2.e+05""",D,"=""132481.2068""","=""159393.3850""","=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
